service_id,date,exception_type
9,20170818,1
9,20170821,1
9,20170822,1
9,20170823,1
9,20170824,1
9,20170825,1
9,20170828,1
9,20170829,1
9,20170830,1
9,20170831,1
10,20170902,1
10,20170903,1
10,20170904,1
10,20170909,1
10,20170910,1
10,20170916,1
10,20170917,1
10,20170923,1
10,20170924,1
10,20170930,1
10,20171001,1
10,20171007,1
10,20171008,1
10,20171014,1
10,20171015,1
10,20171021,1
10,20171022,1
10,20171028,1
10,20171029,1
10,20171104,1
10,20171105,1
10,20171111,1
10,20171112,1
11,20170819,1
11,20170826,1
11,20170902,1
11,20170909,1
11,20170916,1
11,20170923,1
11,20170930,1
11,20171007,1
11,20171014,1
11,20171021,1
11,20171028,1
11,20171104,1
11,20171111,1
11,20171118,1
11,20171125,1
11,20171202,1
11,20171209,1
11,20171216,1
11,20171223,1
11,20171230,1
11,20180106,1
11,20180113,1
11,20180120,1
11,20180127,1
11,20180203,1
11,20180210,1
12,20170820,1
12,20170827,1
12,20170903,1
12,20170910,1
12,20170917,1
12,20170924,1
12,20171001,1
12,20171008,1
12,20171015,1
12,20171022,1
12,20171029,1
12,20171105,1
12,20171112,1
12,20171119,1
12,20171126,1
12,20171203,1
12,20171210,1
12,20171217,1
12,20171224,1
12,20171231,1
12,20180107,1
12,20180114,1
12,20180121,1
12,20180128,1
12,20180204,1
12,20180211,1
13,20170817,1
13,20170818,1
13,20170821,1
13,20170822,1
13,20170823,1
13,20170824,1
13,20170825,1
13,20170828,1
13,20170829,1
13,20170830,1
13,20170831,1
13,20170901,1
13,20170904,1
13,20170905,1
13,20170906,1
13,20170907,1
13,20170908,1
13,20170911,1
13,20170912,1
13,20170913,1
13,20170914,1
13,20170915,1
13,20170918,1
13,20170919,1
13,20170920,1
13,20170921,1
13,20170922,1
13,20170925,1
13,20170926,1
13,20170927,1
13,20170928,1
13,20170929,1
13,20171002,1
13,20171003,1
13,20171004,1
13,20171005,1
13,20171006,1
13,20171009,1
13,20171010,1
13,20171011,1
13,20171012,1
13,20171013,1
13,20171016,1
13,20171017,1
13,20171018,1
13,20171019,1
13,20171020,1
13,20171023,1
13,20171024,1
13,20171025,1
13,20171026,1
13,20171027,1
13,20171030,1
13,20171031,1
13,20171101,1
13,20171102,1
13,20171103,1
13,20171106,1
13,20171107,1
13,20171108,1
13,20171109,1
13,20171110,1
13,20171113,1
13,20171114,1
13,20171115,1
13,20171116,1
13,20171117,1
13,20171120,1
13,20171121,1
13,20171122,1
13,20171123,1
13,20171124,1
13,20171127,1
13,20171128,1
13,20171129,1
13,20171130,1
13,20171201,1
13,20171204,1
13,20171205,1
13,20171206,1
13,20171207,1
13,20171208,1
13,20171211,1
13,20171212,1
13,20171213,1
13,20171214,1
13,20171215,1
13,20171218,1
13,20171219,1
13,20171220,1
13,20171221,1
13,20171222,1
13,20171225,1
13,20171226,1
13,20171227,1
13,20171228,1
13,20171229,1
13,20180101,1
13,20180102,1
13,20180103,1
13,20180104,1
13,20180105,1
13,20180108,1
13,20180109,1
13,20180110,1
13,20180111,1
13,20180112,1
13,20180115,1
13,20180116,1
13,20180117,1
13,20180118,1
13,20180119,1
13,20180122,1
13,20180123,1
13,20180124,1
13,20180125,1
13,20180126,1
13,20180129,1
13,20180130,1
13,20180131,1
13,20180201,1
13,20180202,1
13,20180205,1
13,20180206,1
13,20180207,1
13,20180208,1
13,20180209,1
13,20180212,1
14,20170904,1
15,20170901,1
16,20171112,1
17,20171112,1
17,20171118,1
18,20170819,1
18,20170820,1
18,20170826,1
18,20170827,1
18,20170902,1
18,20170903,1
18,20170904,1
18,20170909,1
18,20170910,1
18,20170916,1
18,20170917,1
18,20170923,1
18,20170924,1
18,20170930,1
18,20171001,1
18,20171007,1
18,20171008,1
18,20171014,1
18,20171015,1
18,20171021,1
18,20171022,1
18,20171028,1
18,20171029,1
18,20171104,1
18,20171105,1
18,20171111,1
19,20170818,1
19,20170825,1
19,20170901,1
20,20170817,1
20,20170821,1
20,20170822,1
20,20170823,1
20,20170824,1
20,20170828,1
20,20170829,1
20,20170830,1
20,20170831,1
21,20170905,1
21,20170906,1
21,20170907,1
21,20170911,1
21,20170912,1
21,20170913,1
21,20170914,1
21,20170918,1
21,20170919,1
21,20170920,1
21,20170921,1
21,20170925,1
21,20170926,1
21,20170927,1
21,20170928,1
21,20171002,1
21,20171003,1
21,20171004,1
21,20171005,1
21,20171009,1
21,20171010,1
21,20171011,1
21,20171012,1
21,20171016,1
21,20171017,1
21,20171018,1
21,20171019,1
21,20171023,1
21,20171024,1
21,20171025,1
21,20171026,1
21,20171030,1
21,20171031,1
21,20171101,1
21,20171102,1
21,20171106,1
21,20171107,1
21,20171108,1
21,20171109,1
21,20171113,1
21,20171114,1
21,20171115,1
21,20171116,1
22,20170908,1
22,20170915,1
22,20170922,1
22,20170929,1
22,20171006,1
22,20171013,1
22,20171020,1
22,20171027,1
22,20171103,1
22,20171110,1
22,20171117,1
23,20170817,1
23,20170818,1
23,20170822,1
23,20170823,1
23,20170824,1
23,20170825,1
23,20170829,1
23,20170830,1
23,20170831,1
23,20170901,1
24,20170821,1
24,20170828,1
25,20170905,1
25,20170911,1
25,20170918,1
25,20170925,1
25,20171002,1
25,20171009,1
25,20171016,1
25,20171023,1
25,20171030,1
25,20171106,1
25,20171113,1
26,20170906,1
26,20170907,1
26,20170908,1
26,20170912,1
26,20170913,1
26,20170914,1
26,20170915,1
26,20170919,1
26,20170920,1
26,20170921,1
26,20170922,1
26,20170926,1
26,20170927,1
26,20170928,1
26,20170929,1
26,20171003,1
26,20171004,1
26,20171005,1
26,20171006,1
26,20171010,1
26,20171011,1
26,20171012,1
26,20171013,1
26,20171017,1
26,20171018,1
26,20171019,1
26,20171020,1
26,20171024,1
26,20171025,1
26,20171026,1
26,20171027,1
26,20171031,1
26,20171101,1
26,20171102,1
26,20171103,1
26,20171107,1
26,20171108,1
26,20171109,1
26,20171110,1
26,20171114,1
26,20171115,1
26,20171116,1
26,20171117,1
27,20170902,1
27,20170903,1
27,20170904,1
27,20170909,1
27,20170910,1
28,20170818,1
28,20170825,1
29,20170817,1
29,20170821,1
29,20170822,1
29,20170823,1
29,20170824,1
29,20170828,1
29,20170829,1
29,20170830,1
29,20170831,1
29,20170901,1
30,20170916,1
30,20170917,1
30,20170923,1
30,20170924,1
30,20170930,1
30,20171001,1
30,20171007,1
30,20171008,1
30,20171014,1
30,20171015,1
30,20171021,1
30,20171022,1
30,20171028,1
30,20171029,1
30,20171104,1
30,20171105,1
30,20171111,1
30,20171112,1
30,20171118,1
31,20170905,1
31,20170906,1
31,20170907,1
31,20170908,1
32,20170902,1
32,20170903,1
32,20170904,1
32,20170909,1
33,20170819,1
33,20170826,1
33,20170902,1
33,20170904,1
33,20170909,1
33,20170916,1
33,20170923,1
33,20170930,1
33,20171007,1
33,20171014,1
33,20171021,1
33,20171028,1
33,20171104,1
33,20171111,1
33,20171118,1
33,20171125,1
33,20171202,1
33,20171209,1
33,20171216,1
33,20171223,1
33,20171230,1
33,20180106,1
33,20180113,1
33,20180120,1
33,20180127,1
33,20180203,1
33,20180210,1
34,20170905,1
34,20170906,1
34,20170907,1
34,20170908,1
34,20170911,1
34,20170912,1
34,20170913,1
34,20170914,1
34,20170915,1
34,20170918,1
34,20170919,1
34,20170920,1
34,20170921,1
34,20170922,1
34,20170925,1
34,20170926,1
34,20170927,1
34,20170928,1
34,20170929,1
34,20171002,1
34,20171003,1
34,20171004,1
34,20171005,1
34,20171006,1
34,20171009,1
34,20171010,1
34,20171011,1
34,20171012,1
34,20171013,1
34,20171016,1
34,20171017,1
34,20171018,1
34,20171019,1
34,20171020,1
34,20171023,1
34,20171024,1
34,20171025,1
34,20171026,1
34,20171027,1
34,20171030,1
34,20171031,1
34,20171101,1
34,20171102,1
34,20171103,1
34,20171106,1
34,20171107,1
34,20171108,1
34,20171109,1
34,20171110,1
34,20171113,1
34,20171114,1
34,20171115,1
34,20171116,1
34,20171117,1
34,20171120,1
34,20171121,1
34,20171122,1
34,20171123,1
34,20171124,1
34,20171127,1
34,20171128,1
34,20171129,1
34,20171130,1
34,20171201,1
34,20171204,1
34,20171205,1
34,20171206,1
34,20171207,1
34,20171208,1
34,20171211,1
34,20171212,1
34,20171213,1
34,20171214,1
34,20171215,1
34,20171218,1
34,20171219,1
34,20171220,1
34,20171221,1
34,20171222,1
34,20171225,1
34,20171226,1
34,20171227,1
34,20171228,1
34,20171229,1
34,20180101,1
34,20180102,1
34,20180103,1
34,20180104,1
34,20180105,1
34,20180108,1
34,20180109,1
34,20180110,1
34,20180111,1
34,20180112,1
34,20180115,1
34,20180116,1
34,20180117,1
34,20180118,1
34,20180119,1
34,20180122,1
34,20180123,1
34,20180124,1
34,20180125,1
34,20180126,1
34,20180129,1
34,20180130,1
34,20180131,1
34,20180201,1
34,20180202,1
34,20180205,1
34,20180206,1
34,20180207,1
34,20180208,1
34,20180209,1
34,20180212,1
35,20170818,1
35,20170819,1
35,20170820,1
35,20170825,1
35,20170826,1
35,20170827,1
36,20170902,1
36,20170903,1
36,20170904,1
36,20170908,1
36,20170909,1
36,20170910,1
36,20170915,1
36,20170916,1
36,20170917,1
36,20170922,1
36,20170923,1
36,20170924,1
36,20170929,1
36,20170930,1
36,20171001,1
36,20171006,1
36,20171007,1
36,20171008,1
36,20171013,1
36,20171014,1
36,20171015,1
36,20171020,1
36,20171021,1
36,20171022,1
36,20171027,1
36,20171028,1
36,20171029,1
36,20171103,1
36,20171104,1
36,20171105,1
36,20171110,1
36,20171111,1
36,20171112,1
36,20171117,1
37,20170905,1
37,20170906,1
37,20170907,1
37,20170911,1
37,20170912,1
37,20170913,1
37,20170914,1
37,20170918,1
37,20170919,1
37,20170921,1
37,20170925,1
37,20170926,1
37,20170927,1
37,20170928,1
37,20171002,1
37,20171003,1
37,20171004,1
37,20171005,1
37,20171009,1
37,20171010,1
37,20171011,1
37,20171012,1
37,20171016,1
37,20171017,1
37,20171018,1
37,20171019,1
37,20171023,1
37,20171024,1
37,20171025,1
37,20171026,1
37,20171030,1
37,20171031,1
37,20171101,1
37,20171102,1
37,20171106,1
37,20171107,1
37,20171108,1
37,20171109,1
37,20171113,1
37,20171114,1
37,20171115,1
37,20171116,1
38,20170908,1
38,20170915,1
38,20170920,1
38,20170922,1
38,20170929,1
38,20171006,1
38,20171013,1
38,20171020,1
38,20171027,1
38,20171103,1
38,20171110,1
38,20171117,1
